Client, Tx_Packets,Rx_Packets,Throughput_(Mbps),Delay (s),Packet_Loss_Ratio_(%)
7,1024,1001,0.892683,0.470494,2.246094
3,1024,953,0.849877,0.455121,6.933594
4,1024,869,0.774967,0.392657,15.136719
2,1024,3,0.002675,0.273625,99.707031
10,1024,3,0.002675,0.329368,99.707031
6,1024,3,0.002675,0.332246,99.707031
5,1024,555,0.494944,0.175296,45.800781
9,1024,3,0.002675,0.311659,99.707031
8,1024,136,0.121284,0.035031,86.718750
1,1024,989,0.881982,0.249068,3.417969
