Client, Tx_Packets,Rx_Packets,Throughput_(Mbps),Delay (s),Packet_Loss_Ratio_(%)
7,1024,3,0.002675,0.507320,99.707031
3,1024,771,0.687571,0.355015,24.707031
4,1024,865,0.771400,0.450880,15.527344
2,1024,483,0.430735,0.235197,52.832031
10,1024,3,0.002675,0.239742,99.707031
6,1024,3,0.002675,0.269557,99.707031
5,1024,3,0.002675,0.329859,99.707031
9,1024,3,0.002675,0.347730,99.707031
8,1024,3,0.002675,0.508027,99.707031
1,1024,3,0.002675,0.503320,99.707031
